id;id_kategori;kbli_2_digit_deskripsi;nama_variabel;tahun;jumlah
1;559;Makanan;Kecil;2010;48320
2;559;Makanan;Mikro;2010;881590
3;559;Minuman;Mikro;2010;29848
4;559;Minuman;Kecil;2010;547
5;559;Pengolahan Tembakau;Mikro;2010;22804
6;559;Pengolahan Tembakau;Kecil;2010;30365
7;559;Tekstil;Mikro;2010;221054
8;559;Tekstil;Kecil;2010;13603
9;559;Pakaian Jadi;Mikro;2010;244810
10;559;Pakaian Jadi;Kecil;2010;31738
11;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2010;6263
12;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2010;26647
13;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2010;15345
14;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2010;623761
15;559;Kertas dan Barang dari Kertas;Kecil;2010;488
16;559;Kertas dan Barang dari Kertas;Mikro;2010;6780
17;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2010;19675
18;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2010;4630
19;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2010;945
20;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2010;18223
21;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2010;69
22;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2010;4974
23;559;Karet Barang dari Karet dan Plastik;Kecil;2010;1440
24;559;Karet Barang dari Karet dan Plastik;Mikro;2010;12346
25;559;Barang Galian Bukan Logam;Kecil;2010;22429
26;559;Barang Galian Bukan Logam;Mikro;2010;193129
27;559;Logam Dasar;Mikro;2010;1288
28;559;Logam Dasar;Kecil;2010;265
29;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2010;54571
30;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2010;7160
31;559;Komputer Barang Elektronik dan Optik;Kecil;2010;37
32;559;Komputer Barang Elektronik dan Optik;Mikro;2010;397
33;559;Peralatan Listrik;Kecil;2010;86
34;559;Peralatan Listrik;Mikro;2010;113
35;559;Mesin dan Perlengkapan ytdl;Mikro;2010;1129
36;559;Mesin dan Perlengkapan ytdl;Kecil;2010;411
37;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2010;174
38;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2010;3314
39;559;Alat Angkutan Lainnya;Mikro;2010;4383
40;559;Alat Angkutan Lainnya;Kecil;2010;325
41;559;Furnitur;Kecil;2010;10228
42;559;Furnitur;Mikro;2010;96938
43;559;Pengolahan Lainnya;Mikro;2010;55592
44;559;Pengolahan Lainnya;Kecil;2010;7306
45;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2010;6481
46;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2010;703
47;559;JUMLAH;Mikro;2010;2529847
48;559;JUMLAH;Kecil;2010;202877
49;559;Makanan;Kecil;2011;118403
50;559;Makanan;Mikro;2011;872869
51;559;Minuman;Mikro;2011;32516
52;559;Minuman;Kecil;2011;1408
53;559;Pengolahan Tembakau;Kecil;2011;452
54;559;Pengolahan Tembakau;Mikro;2011;54258
55;559;Tekstil;Mikro;2011;226017
56;559;Tekstil;Kecil;2011;17117
57;559;Pakaian Jadi;Kecil;2011;101629
58;559;Pakaian Jadi;Mikro;2011;202809
59;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2011;18959
60;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2011;17690
61;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2011;39442
62;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2011;697970
63;559;Kertas dan Barang dari Kertas;Kecil;2011;886
64;559;Kertas dan Barang dari Kertas;Mikro;2011;6628
65;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2011;8629
66;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2011;19058
67;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2011;23678
68;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2011;1810
69;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2011;39
70;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2011;3862
71;559;Karet Barang dari Karet dan Plastik;Kecil;2011;1472
72;559;Karet Barang dari Karet dan Plastik;Mikro;2011;14457
73;559;Barang Galian Bukan Logam;Mikro;2011;179578
74;559;Barang Galian Bukan Logam;Kecil;2011;59830
75;559;Logam Dasar;Mikro;2011;815
76;559;Logam Dasar;Kecil;2011;766
77;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2011;68827
78;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2011;17986
79;559;Komputer Barang Elektronik dan Optik;Mikro;2011;238
80;559;Komputer Barang Elektronik dan Optik;Kecil;2011;39
81;559;Peralatan Listrik;Mikro;2011;829
82;559;Peralatan Listrik;Kecil;2011;36
83;559;Mesin dan Perlengkapan ytdl;Mikro;2011;308
84;559;Mesin dan Perlengkapan ytdl;Kecil;2011;514
85;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2011;1610
86;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2011;1195
87;559;Alat Angkutan Lainnya;Kecil;2011;786
88;559;Alat Angkutan Lainnya;Mikro;2011;6425
89;559;Furnitur;Kecil;2011;22307
90;559;Furnitur;Mikro;2011;66687
91;559;Pengolahan Lainnya;Kecil;2011;9459
92;559;Pengolahan Lainnya;Mikro;2011;51986
93;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2011;1120
94;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2011;5616
95;559;JUMLAH;Mikro;2011;2554787
96;559;JUMLAH;Kecil;2011;424284
97;559;Makanan;Kecil;2012;70712
98;559;Makanan;Mikro;2012;871898
99;559;Minuman;Mikro;2012;51069
100;559;Minuman;Kecil;2012;2605
101;559;Pengolahan Tembakau;Kecil;2012;856
102;559;Pengolahan Tembakau;Mikro;2012;32535
103;559;Tekstil;Kecil;2012;15008
104;559;Tekstil;Mikro;2012;192149
105;559;Pakaian Jadi;Mikro;2012;347887
106;559;Pakaian Jadi;Kecil;2012;107141
107;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2012;37514
108;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2012;16417
109;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2012;29850
110;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2012;554992
111;559;Kertas dan Barang dari Kertas;Kecil;2012;1400
112;559;Kertas dan Barang dari Kertas;Mikro;2012;9487
113;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2012;34320
114;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2012;17596
115;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2012;16002
116;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2012;164
117;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2012;10909
118;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2012;1
119;559;Karet Barang dari Karet dan Plastik;Mikro;2012;23300
120;559;Karet Barang dari Karet dan Plastik;Kecil;2012;2813
121;559;Barang Galian Bukan Logam;Kecil;2012;48808
122;559;Barang Galian Bukan Logam;Mikro;2012;233396
123;559;Logam Dasar;Mikro;2012;369
124;559;Logam Dasar;Kecil;2012;88
125;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2012;118106
126;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2012;18050
127;559;Komputer Barang Elektronik dan Optik;Mikro;2012;79
128;559;Komputer Barang Elektronik dan Optik;Kecil;2012;29
129;559;Peralatan Listrik;Kecil;2012;725
130;559;Peralatan Listrik;Mikro;2012;551
131;559;Mesin dan Perlengkapan ytdl;Kecil;2012;686
132;559;Mesin dan Perlengkapan ytdl;Mikro;2012;10542
133;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2012;524
134;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2012;1433
135;559;Alat Angkutan Lainnya;Kecil;2012;610
136;559;Alat Angkutan Lainnya;Mikro;2012;8138
137;559;Furnitur;Kecil;2012;46226
138;559;Furnitur;Mikro;2012;136983
139;559;Pengolahan Lainnya;Mikro;2012;113818
140;559;Pengolahan Lainnya;Kecil;2012;23884
141;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2012;7270
142;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2012;1103
143;559;JUMLAH;Mikro;2012;2812747
144;559;JUMLAH;Kecil;2012;405296
145;559;Makanan;Mikro;2013;1008890
146;559;Makanan;Kecil;2013;158651
147;559;Minuman;Mikro;2013;45508
148;559;Minuman;Kecil;2013;1962
